spreadsheetId,accountId,month,folder_id,currentPeriodTotalCost
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Jan 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Feb 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Mar 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Apr 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,May 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Jun 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Jul 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Aug 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Sep 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Oct 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Nov 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
1Z3EBgrz73wTOhWN4YWDdzZv8seSvB1yBlZpOV_0Z1TY,6713 ,Dec 2021,1RNCQNNf8L6C28UcoHB0aHNiShNjQXQ2X,223.36
